year,month,PRCP_10,SM_100,RO
1998,8,29.76700134,1.626002502,11.11624
1998,9,20.21799927,2.630716858,15.43765
1998,10,31.2519989,3.273418579,38.2616
1998,11,11.63799973,3.540122375,18.47141
1998,12,4.140999985,3.349618225,2.28098
1999,1,8.648000336,3.21703064,1.11219
1999,2,5.231000137,3.169745483,1.84799
1999,3,8.406999969,3.034449158,0.83485
1999,4,6.501000214,2.707265015,1.76592
1999,5,6.466999817,2.423902893,0.71882
1999,6,12.24899979,2.471313477,1.50556
1999,7,6.972000122,2.177073212,1.00465
1999,8,7.965000153,2.162875671,0.248191
1999,9,6.056999969,2.196430664,0.178856
1999,10,2.792000008,2.068864899,0.167536
1999,11,1.109000015,2.041178741,0.14716
1999,12,3.600999832,2.108383942,0.13018
2000,1,3.249000168,2.13338562,0.54619
2000,2,1.9,2.163616791,0.166404
2000,3,10.66399994,2.088232574,1.54235
2000,4,5.088000107,1.895171967,0.57166
2000,5,9.043000031,1.983599548,0.3113
2000,6,4.109999847,2.038681183,0.3113
2000,7,0.221000004,1.704414825,0.0191591
2000,8,4.888000107,1.621562195,0.0139519
2000,9,2.584000015,1.733548431,0.0078957
2000,10,12.44800034,2.091130981,0.037639
2000,11,14.27700043,2.29672348,1.35274
2000,12,3.734999847,2.298363037,1.08955
2001,1,10.49100037,2.602754211,3.28563
2001,2,1.034000015,2.671026001,0.34526
2001,3,9.180000305,2.74992218,0.52355
2001,4,0.573999977,2.605788574,0.66222
2001,5,3.408000183,2.26542099,13.74531
2001,6,3.188999939,2.442429962,0.78674
2001,7,2.073999977,2.187725983,0.238569
2001,8,24.13600006,2.402592926,6.18921
2001,9,14.28099976,2.983111572,75.4478
2001,10,5.447000122,2.917346497,2.15646
2001,11,19.33600006,2.932147522,32.4035
2001,12,5.622000122,3.214049683,5.96847
2002,1,1.277999973,3.092619324,1.53103
2002,2,0.379999995,3.011292725,1.08672
2002,3,0.751999998,2.863194275,0.84051
2002,4,1.005000019,2.609664307,0.43582
2002,5,5.040999985,2.510183868,0.277623
2002,6,10.14400024,2.177931976,0.198666
2002,7,13.775,2.017803497,7.7825
2002,8,6.390000153,2.096280365,0.54902
2002,9,32.76499939,2.833104553,16.74228
2002,10,22.36900024,3.613903809,16.54135
2002,11,7.975,3.652071228,11.74733
2002,12,8.056999969,3.557283325,5.82131
2003,1,3.895999908,3.502226257,2.09137
2003,2,8.083000183,3.464901733,2.07156
2003,3,8.726999664,3.318490295,1.87063
2003,4,0.528999996,3.002955627,0.72731
2003,5,0.630999994,2.62296051,0.59996
2003,6,8.208000183,2.507657471,0.60562
2003,7,25.22299957,2.405020294,6.8486
2003,8,2.720999908,2.094218903,0.35658
2003,9,35.24299927,3.467144775,15.82253
2003,10,6.448000336,3.811903687,1.83101
2003,11,5.695999908,3.592503052,1.27916
2003,12,3.477000046,3.453265381,0.45846
2004,1,8.830999756,3.528308105,1.87346
2004,2,5.795000076,3.622020264,0.849
2004,3,5.316999817,3.413908081,2.04892
2004,4,23.71300049,3.26572876,50.3174
2004,5,19.83300018,3.295668945,36.5919
2004,6,8.316999817,3.528960266,8.12776
2004,7,3.904000092,3.20044342,4.63837
2004,8,4.856000137,2.722019043,1.06974
2004,9,8.5,2.626339111,0.73014
2004,10,7.319999695,3.243563538,0.57732
2004,11,7.237000275,3.613007507,1.43198
2004,12,2.128000069,3.412636719,0.69618
2005,1,3.261000061,3.309640808,2.07722
2005,2,9.102999878,3.471906738,4.29877
2005,3,24.76699982,3.353227539,25.22945
2005,4,0.559999991,2.940471802,1.07257
